,unix_time,bid_price,bid_volume,ask_price,ask_volume
357,1720799100,14113632.0,14,14224497,26
358,1720799400,14304451.0,29,14136406,33
359,1720799700,13911937.0,28,13979065,34
360,1720800000,13934682.0,11,14103976,41
361,1720800300,13929437.0,18,14042445,40
362,1720800600,13817494.0,25,13995794,71
363,1720800900,13656495.0,17,13798946,37
364,1720801200,13939952.0,10,14205732,57
365,1720801500,13923257.0,22,13920703,23
366,1720801800,14100549.0,14,14070160,15
